Rank,Name,GDP (IMF '19),GDP (UN '16),GDP Per Capita,Population 2021
1,United States,22.20 Tn,18.62 Tn,"$66,678","332,915,073"
2,China,15.47 Tn,11.22 Tn,"$10,710","1,444,216,107"
3,Japan,5.50 Tn,4.94 Tn,"$43,597","126,050,804"
4,Germany,4.16 Tn,3.48 Tn,"$49,548","83,900,473"
5,India,3.26 Tn,2.26 Tn,"$2,338","1,393,409,038"
6,United Kingdom,2.93 Tn,2.65 Tn,"$42,915","68,207,116"
7,France,2.88 Tn,2.47 Tn,"$43,959","65,426,179"
8,Italy,2.09 Tn,1.86 Tn,"$34,629","60,367,477"
9,Brazil,2.06 Tn,1.80 Tn,"$9,638","213,993,437"
10,Canada,1.83 Tn,1.53 Tn,"$48,137","38,067,903"
11,South Korea,1.74 Tn,1.41 Tn,"$34,000","51,305,186"
12,Russia,1.67 Tn,1.25 Tn,"$11,428","145,912,025"
13,Spain,1.50 Tn,1.24 Tn,"$32,026","46,745,216"
14,Australia,1.48 Tn,1.30 Tn,"$57,447","25,788,215"
15,Mexico,1.30 Tn,1.08 Tn,"$9,963","130,262,216"
16,Indonesia,1.21 Tn,932.26 Bn,"$4,374","276,361,783"
17,Netherlands,954.93 Bn,777.23 Bn,"$55,606","17,173,099"
18,Turkey,809.55 Bn,863.71 Bn,"$9,519","85,042,738"
19,Saudi Arabia,790.06 Bn,639.62 Bn,"$22,356","35,340,683"
20,Switzerland,740.70 Bn,668.85 Bn,"$84,987","8,715,494"
21,Poland,643.27 Bn,471.40 Bn,"$17,019","37,797,005"
22,Taiwan,633.70 Bn,,"$26,564","23,855,010"
23,Sweden,576.72 Bn,514.48 Bn,"$56,763","10,160,169"
24,Belgium,553.78 Bn,467.96 Bn,"$47,607","11,632,326"
25,Thailand,547.43 Bn,407.03 Bn,"$7,826","69,950,850"
26,Argentina,515.35 Bn,545.87 Bn,"$11,300","45,605,826"
27,Nigeria,496.12 Bn,404.65 Bn,"$2,347","211,400,708"
28,Iran,495.69 Bn,425.40 Bn,"$5,830","85,028,759"
29,Austria,481.68 Bn,390.80 Bn,"$53,265","9,043,070"
30,United Arab Emirates,449.13 Bn,348.74 Bn,"$44,953","9,991,089"
31,Norway,438.62 Bn,371.07 Bn,"$80,251","5,465,630"
32,Ireland,405.19 Bn,304.82 Bn,"$81,315","4,982,907"
33,Israel,403.96 Bn,317.75 Bn,"$45,958","8,789,774"
34,Hong Kong,402.03 Bn,320.91 Bn,"$53,230","7,552,810"
35,Malaysia,401.99 Bn,296.53 Bn,"$12,265","32,776,194"
36,Singapore,391.88 Bn,296.95 Bn,"$66,457","5,896,686"
37,Philippines,389.05 Bn,304.91 Bn,"$3,503","111,046,913"
38,South Africa,386.73 Bn,295.44 Bn,"$6,441","60,041,994"
39,Denmark,364.55 Bn,306.90 Bn,"$62,709","5,813,298"
40,Colombia,352.81 Bn,282.46 Bn,"$6,882","51,265,844"
41,Bangladesh,343.28 Bn,220.84 Bn,"$2,064","166,303,498"
42,Egypt,331.36 Bn,270.14 Bn,"$3,178","104,258,327"
43,Chile,313.56 Bn,247.05 Bn,"$16,321","19,212,361"
44,Finland,289.24 Bn,238.50 Bn,"$52,131","5,548,360"
45,Vietnam,282.37 Bn,205.28 Bn,"$2,876","98,168,833"
46,Romania,263.13 Bn,186.69 Bn,"$13,757","19,127,774"
47,Czech Republic,259.74 Bn,195.31 Bn,"$24,219","10,724,555"
48,Portugal,249.91 Bn,204.84 Bn,"$24,578","10,167,925"
49,Iraq,246.93 Bn,160.02 Bn,"$5,997","41,179,350"
50,Peru,244.16 Bn,192.21 Bn,"$7,319","33,359,418"
51,Greece,230.50 Bn,192.69 Bn,"$22,226","10,370,744"
52,New Zealand,224.94 Bn,187.52 Bn,"$46,278","4,860,643"
53,Qatar,204.01 Bn,152.45 Bn,"$69,615","2,930,528"
54,Algeria,193.06 Bn,159.05 Bn,"$4,327","44,616,624"
55,Hungary,177.73 Bn,125.82 Bn,"$18,448","9,634,164"
56,Kazakhstan,177.32 Bn,135.01 Bn,"$9,335","18,994,962"
57,Ukraine,147.17 Bn,93.27 Bn,"$3,386","43,466,819"
58,Kuwait,143.00 Bn,110.35 Bn,"$33,036","4,328,550"
59,Morocco,129.06 Bn,103.61 Bn,"$3,456","37,344,795"
60,Slovakia,117.40 Bn,89.77 Bn,"$21,499","5,460,721"
61,Kenya,109.12 Bn,70.53 Bn,"$1,984","54,985,698"
62,Ecuador,107.73 Bn,98.01 Bn,"$6,022","17,888,475"
63,Puerto Rico,104.12 Bn,105.03 Bn,"$36,813","2,828,255"
64,Ethiopia,99.37 Bn,70.31 Bn,$843,"117,876,227"
65,Angola,96.43 Bn,106.92 Bn,"$2,842","33,933,610"
66,Dominican Republic,90.46 Bn,71.58 Bn,"$8,258","10,953,703"
67,Sri Lanka,89.94 Bn,81.32 Bn,"$4,184","21,497,310"
68,Guatemala,87.63 Bn,68.76 Bn,"$4,802","18,249,860"
69,Oman,84.16 Bn,63.17 Bn,"$16,112","5,223,375"
70,Panama,75.49 Bn,55.19 Bn,"$17,230","4,381,579"
71,Luxembourg,73.69 Bn,58.63 Bn,"$116,086","634,814"
72,Ghana,72.26 Bn,42.79 Bn,"$2,277","31,732,129"
73,Bulgaria,71.75 Bn,53.24 Bn,"$10,403","6,896,663"
74,Myanmar,71.40 Bn,65.70 Bn,"$1,303","54,806,012"
75,Venezuela,70.11 Bn,291.38 Bn,"$2,442","28,704,954"
76,Tanzania,64.89 Bn,,"$1,055","61,498,437"
77,Croatia,64.59 Bn,51.23 Bn,"$15,824","4,081,651"
78,Belarus,63.66 Bn,47.41 Bn,"$6,742","9,442,862"
79,Costa Rica,63.46 Bn,57.44 Bn,"$12,349","5,139,052"
80,Uruguay,63.42 Bn,52.42 Bn,"$18,197","3,485,151"
81,Macau,62.16 Bn,45.31 Bn,"$94,409","658,394"
82,Lebanon,60.62 Bn,50.46 Bn,"$8,955","6,769,146"
83,Slovenia,58.21 Bn,44.71 Bn,"$28,004","2,078,724"
84,Lithuania,57.60 Bn,42.77 Bn,"$21,414","2,689,862"
85,Turkmenistan,57.06 Bn,36.18 Bn,"$9,327","6,117,924"
86,Serbia,56.89 Bn,38.30 Bn,"$6,540","8,697,550"
87,Uzbekistan,55.48 Bn,67.78 Bn,"$1,635","33,935,763"
88,Dr Congo,52.48 Bn,40.34 Bn,$568,"92,377,993"
89,Libya,50.42 Bn,42.96 Bn,"$7,246","6,958,532"
90,Ivory Coast,49.88 Bn,36.77 Bn,"$1,844","27,053,629"
91,Azerbaijan,47.43 Bn,37.85 Bn,"$4,639","10,223,342"
92,Bolivia,47.05 Bn,33.81 Bn,"$3,976","11,832,940"
93,Jordan,46.45 Bn,38.65 Bn,"$4,523","10,269,021"
94,Paraguay,45.38 Bn,27.17 Bn,"$6,285","7,219,638"
95,Cameroon,42.05 Bn,32.22 Bn,"$1,544","27,224,265"
96,Bahrain,40.71 Bn,32.18 Bn,"$23,284","1,748,296"
97,Latvia,38.10 Bn,27.57 Bn,"$20,409","1,866,942"
98,Tunisia,35.15 Bn,41.70 Bn,"$2,945","11,935,766"
99,Uganda,33.62 Bn,25.31 Bn,$713,"47,123,531"
100,Estonia,33.23 Bn,23.34 Bn,"$25,080","1,325,185"
101,Nepal,33.03 Bn,20.91 Bn,"$1,113","29,674,920"
102,Yemen,31.39 Bn,25.37 Bn,"$1,029","30,490,640"
103,Cambodia,29.31 Bn,20.02 Bn,"$1,730","16,946,438"
104,El Salvador,28.20 Bn,26.80 Bn,"$4,326","6,518,499"
105,Senegal,28.06 Bn,14.60 Bn,"$1,632","17,196,301"
106,Iceland,26.82 Bn,20.27 Bn,"$78,115","343,353"
107,Cyprus,26.35 Bn,20.05 Bn,"$21,675","1,215,584"
108,Zimbabwe,25.81 Bn,16.12 Bn,"$1,710","15,092,171"
109,Honduras,25.56 Bn,21.52 Bn,"$2,540","10,062,991"
110,Zambia,25.27 Bn,21.06 Bn,"$1,336","18,920,651"
111,Trinidad And Tobago,23.23 Bn,24.09 Bn,"$16,557","1,403,375"
112,Papua New Guinea,22.11 Bn,19.69 Bn,"$2,425","9,119,010"
113,Laos,22.01 Bn,15.81 Bn,"$2,983","7,379,358"
114,Bosnia And Herzegovina,21.34 Bn,16.91 Bn,"$6,540","3,263,466"
115,Botswana,20.87 Bn,15.57 Bn,"$8,707","2,397,241"
116,Afghanistan,20.68 Bn,20.24 Bn,$519,"39,835,428"
117,Mali,19.33 Bn,14.00 Bn,$927,"20,855,735"
118,Georgia,18.89 Bn,14.33 Bn,"$4,746","3,979,765"
119,Gabon,17.89 Bn,13.86 Bn,"$7,852","2,278,825"
120,Albania,17.21 Bn,11.86 Bn,"$5,990","2,872,933"
121,Jamaica,16.72 Bn,14.06 Bn,"$5,622","2,973,463"
122,Malta,16.34 Bn,11.00 Bn,"$36,898","442,784"
123,Mozambique,16.29 Bn,10.93 Bn,$507,"32,163,047"
124,Burkina Faso,16.27 Bn,11.70 Bn,$757,"21,497,096"
125,Mauritius,15.76 Bn,12.22 Bn,"$12,374","1,273,433"
126,Mongolia,14.96 Bn,11.16 Bn,"$4,493","3,329,289"
127,Namibia,14.63 Bn,10.95 Bn,"$5,653","2,587,344"
128,Brunei,14.28 Bn,11.40 Bn,"$32,344","441,532"
129,Armenia,13.87 Bn,10.57 Bn,"$4,672","2,968,127"
130,Bahamas,13.71 Bn,11.26 Bn,"$34,542","396,913"
131,North Macedonia,13.70 Bn,10.75 Bn,"$6,578","2,082,658"
132,Guinea,13.60 Bn,8.48 Bn,"$1,008","13,497,244"
133,Madagascar,13.54 Bn,11.22 Bn,$476,"28,427,328"
134,Moldova,12.79 Bn,6.77 Bn,"$3,179","4,024,019"
135,Chad,12.55 Bn,11.27 Bn,$742,"16,914,985"
136,Nicaragua,12.46 Bn,13.23 Bn,"$1,859","6,702,385"
137,Equatorial Guinea,12.26 Bn,10.68 Bn,"$8,458","1,449,896"
138,Benin,12.13 Bn,8.89 Bn,$974,"12,451,040"
139,Republic Of The Congo,11.37 Bn,7.78 Bn,"$2,009","5,657,013"
140,Rwanda,11.06 Bn,8.47 Bn,$833,"13,276,513"
141,Niger,10.63 Bn,7.53 Bn,$423,"25,130,817"
142,Haiti,9.65 Bn,7.65 Bn,$836,"11,541,685"
143,Kyrgyzstan,8.78 Bn,6.55 Bn,"$1,325","6,628,356"
144,Somalia,8.34 Bn,1.32 Bn,$510,"16,359,504"
145,Eritrea,8.12 Bn,5.41 Bn,"$2,254","3,601,467"
146,Malawi,7.86 Bn,5.32 Bn,$400,"19,647,684"
147,Tajikistan,7.84 Bn,6.95 Bn,$804,"9,749,627"
148,Maldives,6.21 Bn,4.22 Bn,"$11,429","543,617"
149,Togo,6.13 Bn,4.45 Bn,$723,"8,478,250"
150,Montenegro,5.74 Bn,4.37 Bn,"$9,139","628,053"
151,Mauritania,5.70 Bn,4.67 Bn,"$1,193","4,775,119"
152,Fiji,5.67 Bn,4.67 Bn,"$6,281","902,906"
153,Barbados,5.34 Bn,4.55 Bn,"$18,557","287,711"
154,Eswatini,4.81 Bn,4.01 Bn,"$4,105","1,172,362"
155,Guyana,4.61 Bn,3.44 Bn,"$5,832","790,326"
156,Sierra Leone,4.22 Bn,3.67 Bn,$518,"8,141,343"
157,Suriname,3.92 Bn,3.28 Bn,"$6,622","591,800"
158,Burundi,3.71 Bn,2.87 Bn,$303,"12,255,433"
159,East Timor,3.41 Bn,2.70 Bn,"$2,540","1,343,873"
160,Liberia,3.22 Bn,2.76 Bn,$621,"5,180,203"
161,Aruba,2.95 Bn,2.67 Bn,"$27,536","107,204"
162,Bhutan,2.94 Bn,2.21 Bn,"$3,768","779,898"
163,Lesotho,2.89 Bn,2.24 Bn,"$1,339","2,159,079"
164,South Sudan,2.80 Bn,6.53 Bn,$246,"11,381,378"
165,Djibouti,2.60 Bn,1.89 Bn,"$2,593","1,002,187"
166,Central African Republic,2.48 Bn,1.81 Bn,$505,"4,919,981"
167,Cape Verde,2.21 Bn,1.64 Bn,"$3,930","561,898"
168,Belize,2.07 Bn,1.74 Bn,"$5,115","404,914"
169,Saint Lucia,2.07 Bn,1.40 Bn,"$11,220","184,400"
170,Gambia,1.87 Bn,985.83 Mn,$752,"2,486,945"
171,Antigua And Barbuda,1.81 Bn,1.46 Bn,"$18,323","98,731"
172,Seychelles,1.74 Bn,1.43 Bn,"$17,582","98,908"
173,San Marino,1.67 Bn,1.59 Bn,"$49,152","34,017"
174,Guinea Bissau,1.67 Bn,1.12 Bn,$828,"2,015,494"
175,Solomon Islands,1.61 Bn,1.13 Bn,"$2,283","703,996"
176,Grenada,1.33 Bn,1.02 Bn,"$11,768","113,021"
177,Saint Kitts And Nevis,1.12 Bn,909.85 Mn,"$20,880","53,544"
178,Vanuatu,994.00 Mn,837.52 Mn,"$3,161","314,464"
179,Samoa,960.00 Mn,822.23 Mn,"$4,796","200,149"
180,Saint Vincent And The Grenadines,903.00 Mn,765.32 Mn,"$8,116","111,263"
181,Comoros,773.00 Mn,1.15 Bn,$870,"888,451"
182,Dominica,590.00 Mn,581.48 Mn,"$8,175","72,167"
183,Sao Tome And Principe,527.00 Mn,342.78 Mn,"$2,359","223,368"
184,Tonga,512.00 Mn,401.46 Mn,"$4,796","106,760"
185,Micronesia,389.00 Mn,329.90 Mn,"$3,346","116,254"
186,Palau,324.00 Mn,310.25 Mn,"$17,833","18,169"
187,Marshall Islands,228.00 Mn,183.00 Mn,"$3,825","59,610"
188,Kiribati,196.00 Mn,173.66 Mn,"$1,615","121,392"
189,Nauru,117.00 Mn,103.47 Mn,"$10,758","10,876"
190,Tuvalu,53.00 Mn,36.70 Mn,"$4,442","11,931"
191,Andorra,,2.86 Bn,"$36,952","77,355"
192,Bermuda,,6.13 Bn,"$98,685","62,090"
193,British Virgin Islands,,971.24 Mn,"$31,927","30,421"
194,Cayman Islands,,3.84 Bn,"$57,808","66,497"
195,Cook Islands,,290.19 Mn,"$16,521","17,565"
196,Cuba,,89.69 Bn,"$7,925","11,317,505"
197,French Polynesia,,5.42 Bn,"$19,176","282,530"
198,Palestine,,13.40 Bn,"$2,565","5,222,748"
199,Greenland,,2.28 Bn,"$40,138","56,877"
200,North Korea,,16.79 Bn,$649,"25,887,041"
201,Liechtenstein,,6.19 Bn,"$161,926","38,250"
202,Monaco,,6.47 Bn,"$163,701","39,511"
203,Montserrat,,62.05 Mn,"$12,468","4,977"
204,Curacao,,3.12 Bn,"$18,941","164,798"
205,Sint Maarten,,1.07 Bn,"$24,695","43,412"
206,New Caledonia,,9.45 Bn,"$32,773","288,218"
207,Pakistan,,282.51 Bn,"$1,254","225,199,937"
208,Anguilla,,337.52 Mn,"$22,327","15,117"
209,Sudan,,82.89 Bn,"$1,846","44,909,353"
210,Syria,,22.16 Bn,"$1,213","18,275,702"
211,Turks And Caicos Islands,,917.55 Mn,"$23,388","39,231"