"country","giniWB","yearWB","giniCIA","yearCIA","pop2022"
"South Africa","63","2014","63","2014","60756.1350"
"Namibia","59.1000","2015","59.1000","2015","2633.8740"
"Suriname","57.9000","1999","","","596.8310"
"Zambia","57.1000","2015","57.1000","2015","19470.2340"
"Sao Tome and Principe","56.3000","2017","56.3000","2017","227.6790"
"Central African Republic","56.2000","2008","43.6000","2003","5016.6780"
"Eswatini","54.6000","2016","54.6000","2016","1184.8170"
"Mozambique","54","2014","54","2014","33089.4610"
"Brazil","53.4000","2019","53.9000","2018","215353.5930"
"Belize","53.3000","1999","","","412.1900"
"Botswana","53.3000","2015","53.3000","2015","2441.1620"
"Angola","51.3000","2018","51.3000","2018","35027.3430"
"Colombia","51.3000","2019","50.4000","2018","51512.7620"
"Saint Lucia","51.2000","2016","51.2000","2016","185.1130"
"Guinea-Bissau","50.7000","2010","50.7000","2010","2063.3670"
"Zimbabwe","50.3000","2019","44.3000","2017","15331.4280"
"Panama","49.8000","2019","49.2000","2018","4446.9640"
"Republic of the Congo","48.9000","2011","48.9000","2011","5797.8050"
"Guatemala","48.3000","2014","48.3000","2014","18584.0390"
"Costa Rica","48.2000","2019","48","2018","5182.3540"
"Honduras","48.2000","2019","52.1000","2018","10221.2470"
"Benin","47.8000","2015","47.8000","2015","12784.7260"
"Cameroon","46.6000","2014","46.5000","2014","27911.5480"
"Nicaragua","46.2000","2014","46.2000","2014","6779.1000"
"Paraguay","45.7000","2019","46.2000","2018","7305.8430"
"Ecuador","45.7000","2019","45.4000","2018","18113.3610"
"Jamaica","45.5000","2004","35","2016","2985.0940"
"Mexico","45.4000","2018","36.8000","2018","131562.7720"
"Comoros","45.3000","2014","45.3000","2014","907.4190"
"Guyana","45.1000","1998","44.6000","2007","794.0450"
"Lesotho","44.9000","2017","44.9000","2017","2175.6990"
"Venezuela","44.8000","2006","39","2011","29266.9910"
"Malawi","44.7000","2016","44.7000","2016","20180.8390"
"Chile","44.4000","2017","44.4000","2017","19250.1950"
"South Sudan","44.1000","2016","46","2010","11618.5110"
"Rwanda","43.7000","2016","43.7000","2016","13600.4640"
"Ghana","43.5000","2016","43.5000","2016","32395.4500"
"Chad","43.3000","2011","43.3000","2011","17413.5800"
"Togo","43.1000","2015","43.1000","2015","8680.8370"
"Argentina","42.9000","2019","41.4000","2018","46010.2340"
"Uganda","42.8000","2016","42.8000","2016","48432.8630"
"Madagascar","42.6000","2012","42.6000","2012","29178.0770"
"Philippines","42.3000","2018","44.4000","2015","112508.9940"
"DR Congo","42.1000","2012","42.1000","2012","95240.7920"
"Iran","42","2018","40.8000","2017","86022.8370"
"Papua New Guinea","41.9000","2009","50.9000","1996","9292.1690"
"Dominican Republic","41.9000","2019","43.7000","2018","11056.3700"
"Turkey","41.9000","2019","41.9000","2018","85561.9760"
"Djibouti","41.6000","2017","41.6000","2017","1016.0970"
"Bolivia","41.6000","2019","42.2000","2018","11992.6560"
"Ivory Coast","41.5000","2015","","","27742.2980"
"Peru","41.5000","2019","42.8000","2018","33684.2080"
"United States","41.4000","2018","41.1000","2016","334805.2690"
"Bulgaria","41.3000","2018","40.4000","2017","6844.5970"
"Haiti","41.1000","2012","41.1000","2012","11680.2830"
"Malaysia","41.1000","2015","41","2015","33181.0720"
"Turkmenistan","40.8000","1998","40.8000","1998","6201.9430"
"Kenya","40.8000","2015","40.8000","2015","56215.2210"
"Tanzania","40.5000","2017","40.5000","2017","63298.5500"
"Trinidad and Tobago","40.3000","1992","","","1406.5850"
"Senegal","40.3000","2011","40.3000","2011","17653.6710"
"Micronesia","40.1000","2013","40.1000","2013","117.4890"
"Uruguay","39.7000","2019","39.7000","2018","3496.0160"
"Morocco","39.5000","2013","39.5000","2013","37772.7560"
"Sri Lanka","39.3000","2016","39.8000","2016","21575.8420"
"Tuvalu","39.1000","2010","39.1000","2010","12.0660"
"Israel","39","2016","37","2018","8922.8920"
"El Salvador","38.8000","2019","38.6000","2018","6550.3890"
"Laos","38.8000","2018","36.4000","2012","7481.0230"
"Samoa","38.7000","2013","38.7000","2013","202.2390"
"Burundi","38.6000","2013","38.6000","2013","12624.8400"
"Montenegro","38.5000","2016","39","2015","627.9500"
"China","38.5000","2016","38.5000","2016","1448471.4000"
"Indonesia","38.2000","2019","37.8000","2018","279134.5050"
"Gabon","38","2017","38","2017","2331.5330"
"Tonga","37.6000","2015","37.6000","2015","107.7490"
"Vanuatu","37.6000","2010","37.6000","2010","321.8320"
"Russia","37.5000","2018","37.5000","2018","145805.9470"
"Bhutan","37.4000","2017","37.4000","2017","787.9410"
"Solomon Islands","37.1000","2012","37.1000","2013","721.1590"
"Kiribati","37","2006","","","123.4190"
"Mauritius","36.8000","2017","36.8000","2017","1274.7270"
"Somalia","36.8000","2017","","","16841.7950"
"Fiji","36.7000","2013","36.7000","2013","909.4660"
"Yemen","36.7000","2014","36.7000","2014","31154.8670"
"Serbia","36.2000","2017","36.2000","2017","8653.0160"
"Gambia","35.9000","2015","35.9000","2015","2558.4820"
"Georgia","35.9000","2019","36.4000","2018","3968.7380"
"Italy","35.9000","2017","35.9000","2017","60262.7700"
"Romania","35.8000","2018","36","2017","19031.3350"
"Lithuania","35.7000","2018","37.3000","2017","2661.7080"
"Sierra Leone","35.7000","2018","35.7000","2018","8306.4360"
"Vietnam","35.7000","2018","35.7000","2018","98953.5410"
"India","35.7000","2011","35.7000","2011","1406631.7760"
"Luxembourg","35.4000","2018","34.9000","2017","642.3710"
"Liberia","35.3000","2016","35.3000","2016","5305.1170"
"Burkina Faso","35.3000","2014","35.3000","2014","22102.8380"
"Uzbekistan","35.3000","2003","36.8000","2003","34382.0840"
"Latvia","35.1000","2018","35.6000","2017","1848.8370"
"United Kingdom","35.1000","2017","34.8000","2016","68497.9070"
"Nigeria","35.1000","2018","35.1000","2018","216746.9340"
"Ethiopia","35","2015","35","2015","120812.6980"
"Thailand","34.9000","2019","36.4000","2018","70078.2030"
"Nauru","34.8000","2012","","","10.9030"
"Spain","34.7000","2018","34.7000","2017","46719.1420"
"Australia","34.4000","2014","34.4000","2014","26068.7920"
"Niger","34.3000","2014","34.3000","2014","26083.6600"
"Sudan","34.2000","2014","34.2000","2014","45992.0200"
"Tajikistan","34","2015","34","2015","9957.4640"
"Palestine","33.7000","2016","","","5345.5410"
"Jordan","33.7000","2010","33.7000","2010","10300.8690"
"Guinea","33.7000","2012","33.7000","2012","13865.6910"
"Portugal","33.5000","2018","33.8000","2017","10140.5700"
"Canada","33.3000","2017","33.3000","2017","38388.4190"
"Albania","33.2000","2017","33.2000","2017","2866.3740"
"Switzerland","33.1000","2018","32.7000","2017","8773.6370"
"North Macedonia","33","2018","","","2081.3040"
"Bosnia and Herzegovina","33","2011","33","2011","3249.3170"
"Mali","33","2009","40.1000","2001","21473.7640"
"Greece","32.9000","2018","34.4000","2017","10316.6370"
"Japan","32.9000","2013","32.9000","2013","125584.8380"
"Tunisia","32.8000","2015","32.8000","2015","12046.6560"
"Nepal","32.8000","2010","32.8000","2010","30225.5820"
"Cyprus","32.7000","2018","31.4000","2017","1223.3870"
"Mongolia","32.7000","2018","32.7000","2018","3378.0780"
"Mauritania","32.6000","2014","32.6000","2014","4901.9810"
"France","32.4000","2018","31.6000","2017","65584.5180"
"Bangladesh","32.4000","2016","32.4000","2016","167885.6890"
"Seychelles","32.1000","2018","46.8000","2013","99.4260"
"Germany","31.9000","2016","31.9000","2016","83883.5960"
"Lebanon","31.8000","2011","31.8000","2011","6684.8490"
"Pakistan","31.6000","2018","33.5000","2015","229488.9940"
"Egypt","31.5000","2017","31.5000","2017","106156.6920"
"Ireland","31.4000","2017","32.8000","2016","5020.1990"
"South Korea","31.4000","2016","35.4000","2015","51329.8990"
"Maldives","31.3000","2016","31.3000","2016","540.9850"
"Austria","30.8000","2018","29.7000","2017","9066.7100"
"Myanmar","30.7000","2017","","","55227.1430"
"Estonia","30.3000","2018","30.4000","2017","1321.9100"
"Poland","30.2000","2018","29.7000","2017","37739.7850"
"Sweden","30","2018","28.8000","2017","10218.9710"
"Armenia","29.9000","2019","34.4000","2018","2971.9660"
"Croatia","29.7000","2018","30.4000","2017","4059.2860"
"Kyrgyzstan","29.7000","2019","27.7000","2018","6728.2710"
"Hungary","29.6000","2018","30.6000","2017","9606.2590"
"Iraq","29.5000","2012","29.5000","2012","42164.9650"
"Malta","28.7000","2018","29.2000","2017","444.0330"
"Timor-Leste","28.7000","2014","28.7000","2014","1369.4290"
"Denmark","28.2000","2018","28.7000","2017","5834.9500"
"Netherlands","28.1000","2018","28.5000","2017","17211.4470"
"Kazakhstan","27.8000","2018","27.5000","2017","19205.0430"
"Norway","27.6000","2018","27","2017","5511.3700"
"Algeria","27.6000","2011","27.6000","2011","45350.1480"
"Finland","27.3000","2018","27.4000","2017","5554.9600"
"Belgium","27.2000","2018","27.4000","2017","11668.2780"
"Azerbaijan","26.6000","2005","33.7000","2008","10300.2050"
"Ukraine","26.6000","2019","26.1000","2018","43192.1220"
"Iceland","26.1000","2017","26.8000","2015","345.3930"
"United Arab Emirates","26","2018","32.5000","2014","10081.7850"
"Moldova","25.7000","2018","25.7000","2018","4013.1710"
"Belarus","25.3000","2019","25.2000","2018","9432.8000"
"Czech Republic","25","2018","","","10736.7840"
"Slovenia","24.6000","2018","24.2000","2017","2078.0340"
"Falkland Islands","","","36","2015","3.5390"
"Faroe Islands","","","22.7000","2013","49.2330"
"Greenland","","","33.9000","2015","56.9730"
"Macau","","","35","2013","667.4900"
"Qatar","","","41.1000","2007","2979.9150"
"New Zealand","","","36.2000","1997","4898.2030"
"Slovakia","","","25.2000","2016","5460.1930"
"Singapore","","","45.9000","2017","5943.5460"
"Hong Kong","","","53.9000","2016","7604.2990"
"Cambodia","","","37.9000","2008","17168.6390"
"Taiwan","","","33.6000","2014","23888.5950"
"Saudi Arabia","","","45.9000","2013","35844.9090"
"Afghanistan","","","29.4000","2008","40754.3880"