"country","lastPerc","previousPerc","dateReference"
"Venezuela","9586","14291","12/19"
"Zimbabwe","676","540","03/20"
"Sudan","71.4000","64.2800","02/20"
"Argentina","46.9000","50.3000","03/20"
"South Sudan","36.4000","69","01/20"
"Liberia","30.5500","30.9000","Oct/19"
"Ethiopia","22.6000","21.8000","03/20"
"Iran","22","25","03/20"
"Angola","19.6200","18.7400","03/20"
"Haiti","19.5000","18.6000","08/19"
"Uzbekistan","14.5000","17.5000","12/19"
"Zambia","14","13.9000","03/20"
"Sierra Leone","13.6000","13.8900","01/20"
"Turkmenistan","13.4000","9.4000","12/19"
"Rwanda","13.1000","13.5000","03/20"
"Nigeria","12.2600","12.2000","03/20"
"Turkey","11.8600","12.3700","03/20"
"Pakistan","10.7400","12.0300","03/20"
"Lebanon","10.0400","6.9600","01/20"
"Malawi","9.8000","11","03/20"
"Guinea","9.3000","9.1000","02/20"
"Uruguay","9.1600","8.3200","03/20"
"Myanmar","9.0900","9.4500","01/20"
"Sao Tome and Principe","8.1000","9","02/20"
"Tajikistan","7.8000","8","02/20"
"Ghana","7.8000","7.8000","03/20"
"Republic of the Congo","7.5400","3.9100","01/20"
"Gambia","7.3600","7.6800","01/20"
"Barbados","7.2000","6.3000","12/19"
"Nepal","6.9000","6.8000","02/20"
"Mongolia","6.4000","6.4000","03/20"
"Kazakhstan","6.4000","6","03/20"
"Laos","6.2400","6.9400","02/20"
"Tunisia","6.2000","5.8000","03/20"
"Nicaragua","6.1300","5.7200","12/19"
"Georgia","6.1000","6.4000","03/20"
"Kenya","6.0600","6.3700","03/20"
"India","5.9100","6.5800","03/20"
"Moldova","5.9000","6.4000","03/20"
"Kyrgyzstan","5.9000","4.1000","03/20"
"Cuba","5.9000","5.2000","12/18"
"Aruba","5.5000","5.2000","01/20"
"Bangladesh","5.4800","5.4600","03/20"
"Sri Lanka","5.4000","6.2000","03/20"
"Somalia","5.2000","3.1000","03/20"
"Burundi","5.1000","4.9000","01/20"
"Egypt","5.1000","5.3000","03/20"
"Belarus","4.9000","4.4000","03/20"
"Vietnam","4.9000","5.4000","03/20"
"Jamaica","4.8000","6","03/20"
"Poland","4.6000","4.7000","03/20"
"China","4.3000","5.2000","03/20"
"Suriname","4.2000","4.2000","01/20"
"Lesotho","4.1000","4.8000","01/20"
"South Africa","4.1000","4.6000","03/20"
"Madagascar","4","4.9000","12/19"
"Honduras","3.9900","4.3000","02/20"
"Hungary","3.9000","4.4000","03/20"
"Colombia","3.8600","3.7200","03/20"
"Syria","3.8000","2.8100","12/18"
"Chile","3.7000","3.9000","03/20"
"Afghanistan","3.7000","2.7000","01/20"
"Dominican Republic","3.6600","4.1700","02/20"
"Comoros","3.6000","1.7000","12/19"
"Benin","3.5000","0.5000","02/20"
"Cayman Islands","3.4000","4.5000","06/19"
"Czech Republic","3.4000","3.7000","03/20"
"Tanzania","3.4000","3.7000","03/20"
"Djibouti","3.3000","3.6000","12/19"
"Papua New Guinea","3.3000","3.9000","09/19"
"Brazil","3.3000","4.0100","03/20"
"Mexico","3.2500","3.7000","03/20"
"Mauritania","3.2000","2.8000","02/20"
"Romania","3.1000","3.1000","03/20"
"Mozambique","3.0900","3.5500","03/20"
"Cambodia","3.0700","1.7600","12/19"
"Central African Republic","3","0.9000","12/19"
"Bulgaria","3","3.7000","03/20"
"Azerbaijan","3","2.8000","03/20"
"Uganda","3","3.4000","03/20"
"Indonesia","2.9600","2.9800","03/20"
"Vanuatu","2.9000","2.3000","09/19"
"Eswatini","2.8000","2.7000","02/20"
"Bhutan","2.5000","2.3000","01/20"
"New Zealand","2.5000","1.9000","03/20"
"Paraguay","2.5000","2.4000","03/20"
"Senegal","2.5000","1.9000","03/20"
"Philippines","2.5000","2.6000","03/20"
"Russia","2.5000","2.3000","03/20"
"Macau","2.4700","2.3300","03/20"
"Namibia","2.4000","2.5000","03/20"
"Ivory Coast","2.4000","2.6000","03/20"
"Cameroon","2.4000","2.5000","12/19"
"Slovakia","2.3000","3","03/20"
"Hong Kong","2.3000","2.2000","03/20"
"Ukraine","2.3000","2.4000","03/20"
"Mauritius","2.2000","2","02/20"
"Botswana","2.2000","2.2000","03/20"
"Iceland","2.1000","2.4000","03/20"
"Guyana","2.1000","2.1000","12/19"
"Albania","2.1000","1.2000","03/20"
"Jordan","2.1000","1.9000","03/20"
"Costa Rica","1.9100","1.7900","03/20"
"Peru","1.8200","1.9000","03/20"
"Equatorial Guinea","1.8000","1.3000","12/19"
"Lithuania","1.8000","2.8000","03/20"
"Australia","1.8000","1.7000","12/19"
"Maldives","1.7000","1.7000","01/20"
"Kuwait","1.7000","1.7000","02/20"
"Algeria","1.7000","1.4000","02/20"
"Bahamas","1.6800","1.3100","11/19"
"Faroe Islands","1.6000","1.5000","03/20"
"Cape Verde","1.6000","1.9000","03/20"
"Austria","1.6000","2.2000","03/20"
"Saudi Arabia","1.5000","1.2000","03/20"
"Morocco","1.5000","1.1000","03/20"
"United Kingdom","1.5000","1.7000","03/20"
"United States","1.5000","2.3000","03/20"
"Brunei","1.4000","1.1000","02/20"
"Latvia","1.4000","2.3000","03/20"
"Netherlands","1.4000","1.6000","03/20"
"Germany","1.4000","1.7000","03/20"
"Serbia","1.3000","1.9000","03/20"
"Bolivia","1.3000","1.2100","02/20"
"Guatemala","1.2400","1.7800","02/20"
"Malta","1.2000","1.1000","03/20"
"Palestine","1.1100","1.2400","03/20"
"Gabon","1","0.2000","12/19"
"Puerto Rico","1","0.5000","01/20"
"Chad","1","-1.7000","01/20"
"South Korea","1","1.1000","03/20"
"Luxembourg","0.9000","1.7000","03/20"
"Estonia","0.9000","2","03/20"
"Libya","0.9000","-0.9000","12/19"
"Canada","0.9000","2.2000","03/20"
"Iraq","0.9000","0.3000","01/20"
"Seychelles","0.8500","0.7600","03/20"
"Cyprus","0.7000","1.4000","03/20"
"Ireland","0.7000","1.1000","03/20"
"Norway","0.7000","0.9000","03/20"
"Burkina Faso","0.7000","-0.9000","02/20"
"France","0.7000","1.4000","03/20"
"Belgium","0.6200","1.1000","03/20"
"Guinea-Bissau","0.6000","-0.1000","01/20"
"Croatia","0.6000","1.5000","03/20"
"Finland","0.6000","0.8000","03/20"
"Sweden","0.6000","1","03/20"
"Bermuda","0.5000","0.9000","12/19"
"Slovenia","0.5000","2","03/20"
"Trinidad and Tobago","0.4000","0.4000","01/20"
"Denmark","0.4000","0.8000","03/20"
"Japan","0.4000","0.4000","03/20"
"Bosnia and Herzegovina","0.3000","0.7000","02/20"
"Niger","0.3000","0","02/20"
"Belize","0.2000","0.2000","01/20"
"Timor-Leste","0.2000","0","03/20"
"Ecuador","0.1800","-0.2300","03/20"
"Bahrain","0.1000","0.1000","02/20"
"Italy","0.1000","0.3000","03/20"
"Montenegro","0","0.9000","03/20"
"Panama","0","0.4000","02/20"
"Singapore","0","0.3000","03/20"
"Israel","0","0.1000","03/20"
"Portugal","0","0.4000","03/20"
"Greece","0","0.2000","03/20"
"Spain","0","0.7000","03/20"
"Taiwan","-0.0100","-0.2100","03/20"
"Liechtenstein","-0.1000","0.2000","02/20"
"Armenia","-0.1000","-0.5000","03/20"
"Malaysia","-0.2000","1.3000","03/20"
"Oman","-0.2900","0.1800","03/20"
"Togo","-0.3000","0.4000","12/19"
"New Caledonia","-0.5000","-0.4000","12/19"
"El Salvador","-0.5000","-0.3900","03/20"
"Switzerland","-0.5000","-0.1000","03/20"
"Thailand","-0.5400","0.7400","03/20"
"United Arab Emirates","-1.3000","-1.3000","02/20"
"Qatar","-1.4000","-0.4700","03/20"
"Mali","-1.4000","0.1000","03/20"
"Fiji","-2.8000","-3","03/20"
"Eritrea","-27.6000","-14.4000","12/19"