Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
1,Switzerland,195.27,118.44,78.32,74.85,123.35,8.29,28.5,19.59,80.21
2,Denmark,192.36,99.45,73.44,80.07,84.12,6.78,28.52,20.97,81.8
3,Netherlands,185.38,87.99,72.12,75.56,75.66,7.15,27.4,25.07,87.11
4,Finland,184.96,91.02,72.75,76.31,73.2,7.95,27.8,12.09,56.64
5,Australia,183.81,104.63,56.15,78.14,77.75,7.2,34.78,23.85,92.7
6,Iceland,182.26,77.06,76.47,66.36,94.86,6.36,19.77,15.83,68.81
7,Germany,180.27,103.08,63.63,73.25,65.58,8.93,31.14,27.75,82.44
8,Austria,179.16,77.25,73.92,76.75,71.04,10.75,25.55,21.73,77.15
9,New Zealand,176.81,83.63,56.7,73.32,74.52,7.96,30.78,23.62,96.69
10,Norway,176.39,83.11,66.15,76.83,100.9,8.04,26.91,17.95,68.68
11,Sweden,175.3,98.14,51,68.71,71.74,7.81,29.43,18.32,74.92
12,Estonia,174.19,63.46,76.18,73.33,53.68,9.25,24.51,19.75,64.28
13,Oman,173.68,84.24,80.01,58.23,49.42,4.59,22.76,37.21,67.22
14,Luxembourg,173.63,98.84,64.29,70.79,80.5,13.55,32.71,23.92,82.62
15,United States,170.72,106.34,51.84,69.06,70.13,3.96,32.85,35.33,76.78
16,Japan,169.48,87.11,77.88,80.49,77.03,11.02,40.65,38.82,85.27
17,Slovenia,169.04,59.48,77.35,65.25,53.88,11.5,26.48,22.88,77.56
18,Spain,168.48,70.04,66.13,78.37,53.88,8.78,29.24,39.66,93.83
19,Czech Republic,162.64,66.47,74.46,75.34,48.24,13.56,29.45,35.86,77.13
20,Portugal,162.52,46.8,69.42,71.97,47.94,12.25,29.85,30.48,97.77
21,Lithuania,161.84,58.74,66.72,71.94,45.65,10.98,26.03,26.74,67.76
22,United Kingdom,161.74,88.78,53.53,74.83,69.65,8.86,34.4,40.2,88.06
23,Canada,160.38,87.98,57.05,71.31,70.22,7.52,33.61,28.76,55.98
24,United Arab Emirates,160.38,92.17,84.86,68.73,58.33,4.42,36.19,49.71,45.23
25,Croatia,159.21,47.55,75.87,64.06,48.94,13.92,26.89,31.19,89.05
26,France,156.65,85.41,47.59,80.18,74.13,9.94,35.25,42.44,89.7
27,Qatar,154.53,93.67,86.22,73.53,62.81,6.18,30.15,59.9,36.03
28,Ireland,154.52,82.27,54.52,52.34,76.05,6.51,37.93,34.81,89.13
29,Belgium,151.86,79.72,54.62,75.49,72.61,7.09,36.89,50.11,86.03
30,Singapore,151.59,91.34,72.36,71.07,83.98,17.49,41.22,33.31,57.45
31,Slovakia,151.16,54.7,69.82,60.33,44.68,11.18,28.21,39.08,78.13
32,Latvia,150.81,51.65,61.35,62.43,48.45,8.13,31.21,32.72,74.7
33,Saudi Arabia,149.54,91.85,75.28,60.92,50.41,2.79,28.33,63.8,45.98
34,Cyprus,147.1,57.31,67.88,51.98,59.03,6.4,22.93,56.85,93.34
35,Israel,146.06,75.58,67.88,73.83,88.05,13.51,36.37,57.72,94.01
36,Italy,141.07,61.74,54.8,66.79,66.47,8.61,33.75,54.14,91.45
37,Taiwan,140.15,58.35,84.13,86.43,62.35,21.81,31.71,64.68,81.6
38,Poland,140.02,59.95,70.21,57.76,38.95,11.21,31.81,54.74,76.03
39,Hungary,137.15,51.98,65.71,53.44,40.66,10.88,35.55,47.89,80.29
40,South Africa,136.02,78.36,23.94,63.97,42.09,3.07,39.27,56.57,95.25
41,Puerto Rico,133.77,72.78,37.8,57.72,66.53,4,34.16,50.03,71.25
42,Romania,133.38,48.12,71.21,56.21,35.24,10.44,33.56,58.64,77.62
43,Bulgaria,130.09,45.96,61.26,56.41,38.38,7.68,29.42,64.28,82.76
44,Greece,129.24,39.73,52.59,57.31,56.22,10.12,33.8,51.94,94.18
45,Bosnia And Herzegovina,127.07,44.1,57.77,54.3,36.12,10.78,25.99,60.92,80.48
46,South Korea,125.04,76.85,73.51,82.72,73.22,29.4,40.02,62.42,68.39
47,Mexico,124.9,38.62,46.32,72.83,35.35,8.69,39.29,58.46,84.01
48,Turkey,124.05,32.88,60.31,70.83,28.31,10.27,44.18,65.49,93.8
49,Uruguay,122.26,30.07,48.56,68.36,52.07,20.08,37.31,45.19,98.04
50,Costa Rica,122.07,39.88,46.14,62.75,47.01,10.64,60.19,44.66,99.48
51,Georgia,121.14,31.15,75.7,54.25,30.18,12.03,35.4,69.28,84.2
52,Ecuador,118.84,31.76,42.76,69.26,37.34,12.48,38.87,58.22,94.51
53,Malaysia,117.98,55.3,44.29,70.14,37.02,9.78,37.22,62.11,57.48
54,Kuwait,117.34,78.57,66.59,59.42,48.68,12.26,33.34,66.15,20.22
55,Serbia,117.23,37.83,61.71,52.49,36.21,16.52,30.85,62.9,83.23
56,Tunisia,114.56,27.83,55.71,56.54,27.87,11.75,32.7,70.84,93.24
57,Panama,114.32,33.09,56.08,61.15,51.43,11.18,37.12,58.72,67.84
58,Jordan,113.92,31.34,59.76,65.57,49.19,8.02,41.25,76.26,89.05
59,Ukraine,111.93,37.22,53.06,54.34,30.71,10.92,37.71,62.91,70.69
60,India,110.99,49.72,55.37,65.66,24.43,10.16,46.52,73.05,65.13
61,North Macedonia,109.6,35.44,59.13,55.83,31.38,12.49,26.3,79.69,76.3
62,Malta,109.5,44.18,59.18,45.56,67.84,13.11,29.1,81.02,97.44
63,Belarus,108.48,31.78,41.59,45.57,30.89,16.69,30.15,44.79,64.37
64,Morocco,107.54,34.36,50.93,46.69,33.83,12.6,36.3,69.34,90.04
65,Brazil,107.04,27.85,32.99,57.84,33.24,16.26,41.28,53.84,97.15
66,Argentina,105.42,30.72,35.86,69.32,34.69,26.04,43.3,51.19,98.28
67,China,105.07,59.99,70.61,66.4,41.77,29.04,40.01,80.57,78.41
68,Azerbaijan,104.1,27.26,67.75,44.85,29.73,16.77,39.61,74.3,91.4
69,Colombia,103.54,28.85,42.29,67.19,26.72,16.89,47.8,62.98,88.3
70,Russia,103.28,37.41,60.38,59.08,35.26,14.84,44.5,61.8,48.95
71,Pakistan,102.57,26.63,57.99,59.58,19.92,14.33,37.84,73.67,70.36
72,Thailand,100.97,31.56,60.69,77.65,43.21,21.74,39.62,75.52,69.45
73,Chile,100.15,33.27,46.02,63.97,43.9,17.17,35.82,78.54,90.21
74,Lebanon,99.35,35.12,53.13,62.75,69.62,12.2,38.53,89.27,94.74
75,Hong Kong,98.42,65.74,78.08,66.34,80.71,46.93,42.56,67.57,83.64
76,Kazakhstan,93.77,32.23,46.55,59.99,28.68,10.48,34.73,73.4,39.78
77,Kenya,92.54,32.18,43.79,63.4,33.92,24.24,53.98,69.34,99.79
78,Indonesia,90.36,21.07,53.88,60.44,35.85,21.92,43.46,67.17,68.48
79,Vietnam,89.95,29.38,54.19,58.92,37.48,20.54,29.83,85.52,71.24
80,Egypt,89.87,21.54,53.43,47.01,29.52,12.04,48.36,83.64,91.98
81,Philippines,83.74,21.47,57.67,67.53,37.06,29.64,43.11,73.36,69.32
82,Peru,80.42,28.17,32.9,56.2,32.53,19.45,48.76,82.88,97.69
83,Venezuela,77.43,15.41,16.42,39.31,43.2,14.35,34.1,75.38,99.93
84,Sri Lanka,67.88,19.27,58.79,72.1,31.29,45.97,57.1,60.18,59.11
85,Bangladesh,67.59,25.3,36.55,42.25,33.13,13.54,55.92,84.99,71.29
86,Iran,64.89,17.98,50.89,52.3,37.39,33,47.12,75.4,65.69
87,Nigeria,52.44,9.34,36.16,48.49,30.49,16.11,61.97,88.32,60.75